art,t,bpm,g,ln,s
Big Bang,Haru Haru,126,5,6,7354
Bowling For Soup,Today is Gonna be a Great Day (TV Size),180,4,2,1549752
Horie Yui,Asymmetry,173,3,3,414949
Baracuda,La Di Da (Nightcore Mix),162.5,10,2,17852
ONE OK ROCK,NO SCARED,185,4,3,69779
BIGBANG,Fantastic Baby,130,5,6,49942
Tomatsu Haruka,Q&A Recital! (TV Size),182,3,3,62021
Tomohito Nishiura,Shop,120,2,5,693535
Miku Sawai,Colorful. (AnimeVer.),153,3,3,586296
nameless,3331,200,4,3,297558
t+pazolite,cheatreal,200,10,5,88180
SMiLE.dk,GOLDEN SKY,135,2,2,749378
ALI,LOST IN PARADISE feat. AKLO (TV Size),122,3,2,1284215
Boom,How Do You Do (Nightcore Mix),166.81,10,2,18729
Junichi Masuda,Okido Laboratory,136.5,2,5,198655
StylipS,STUDYxSTUDY (TV Size),170,3,3,43013
senya,Glass-like Psychology,140,2,3,47065
*namirin,Daidai Genome,135,5,3,700726
ARM (IOSYS),Koisuru*Uchuu Sensou!! Abababa Mix,200,2,3,145032
ARCIEN,Future Son,150,10,2,357466
fripSide,dual existence (TV Size),171,3,3,1447905
SawanoHiroyuki[nZk]:mizuki,&Z (TV size-English ver.-),158,3,2,259907
Yu-Peng Chen @HOYO-MiX,Rockin' With Fire,200,2,5,1371400
TRUE,Storyteller (TV Size),192,3,3,1359022
WEAVER,Kuchizuke Diamond,164,3,3,368985
Tsunomaki Watame,Watame no Komoriuta,110,5,3,1369914
senya,"Utakata, Ai no Mahoroba",155,2,3,317372
